freelancer_id,hourly_rate,experience_years,rating,completed_projects,on_time_delivery_rate,response_time_hours,profile_views,repeat_client_rate,skill_category,country,english_level,availability,platform_badge,cluster,cluster_name,pc1,pc2
1697,55.86,7.9,4.64,256,93.9,7.0,3011,82.3,copywriting,Chile,advanced,full_time,none,1,Alto completed projects / Alto experience years,3.0086570616479054,0.08980383473288596
1698,14.78,3.0,3.93,20,85.3,23.8,497,17.5,customer_support,Colombia,intermediate,full_time,none,0,Bajo on time delivery rate / Bajo rating,-1.60634720297819,-0.6783301569398482
1699,26.71,7.0,4.21,51,90.1,10.9,1492,25.3,machine_learning,Guatemala,advanced,full_time,top_rated,2,Bajo response time hours / Alto on time delivery rate,-0.0963949257616208,-0.6914212922387546
1700,43.05,6.8,4.63,77,82.9,9.8,2245,52.3,customer_support,El Salvador,native,full_time,none,2,Bajo response time hours / Alto on time delivery rate,0.890299157242263,-0.45833898351334307
1701,17.16,1.7,4.3,27,68.3,18.5,1536,12.8,customer_support,Mexico,advanced,part_time,verified,0,Bajo on time delivery rate / Bajo rating,-1.7219747702158603,-0.5881838656915201
1702,94.42,8.0,4.82,294,91.7,5.6,9675,41.6,digital_marketing,Argentina,intermediate,part_time,verified,1,Alto completed projects / Alto experience years,4.220372443963583,1.6628270383454544
1703,19.03,0.6,4.03,15,70.8,24.4,1334,20.1,machine_learning,Chile,advanced,full_time,none,0,Bajo on time delivery rate / Bajo rating,-1.9667869199682886,-0.39484862620237143
1704,36.36,3.8,4.46,75,86.5,4.8,1788,27.2,web_development,Guatemala,advanced,weekends,none,2,Bajo response time hours / Alto on time delivery rate,0.06497293815183147,-0.9320529989217513
1705,40.7,4.3,4.52,68,85.4,4.5,2813,38.1,web_development,Chile,intermediate,full_time,none,2,Bajo response time hours / Alto on time delivery rate,0.5145567813422375,-0.7489072818321285
1706,19.23,1.0,4.38,27,82.5,21.5,807,5.0,machine_learning,El Salvador,advanced,part_time,none,0,Bajo on time delivery rate / Bajo rating,-1.6256344346436304,-1.0419205844846566
1707,16.26,0.4,3.61,5,86.1,11.3,469,22.7,machine_learning,Costa Rica,native,limited,rising_talent,0,Bajo on time delivery rate / Bajo rating,-1.7922422758927634,-1.018378343531501
1708,72.0,10.8,4.81,327,91.6,7.2,9050,64.9,graphic_design,Chile,advanced,weekends,none,1,Alto completed projects / Alto experience years,4.620656491088232,1.4940621383765094
1709,68.69,12.3,4.76,233,91.1,1.1,5372,49.7,customer_support,Guatemala,basic,part_time,none,1,Alto completed projects / Alto experience years,3.430860613644316,0.7113479628540608
1710,27.81,5.7,4.29,27,84.1,5.1,775,43.1,copywriting,Chile,intermediate,part_time,none,2,Bajo response time hours / Alto on time delivery rate,-0.15378888754803496,-1.0101577570663192
1711,35.49,5.6,4.62,32,94.2,6.5,1289,31.6,web_development,Mexico,intermediate,full_time,rising_talent,2,Bajo response time hours / Alto on time delivery rate,0.3022282140646147,-1.2961702866763896
1712,26.89,6.3,4.34,117,87.6,9.3,4081,51.3,mobile_development,Argentina,basic,limited,top_rated,2,Bajo response time hours / Alto on time delivery rate,1.0987131377395505,-0.3317291293049937
1713,42.55,5.8,4.33,93,91.9,3.1,1851,17.0,graphic_design,Argentina,basic,full_time,none,2,Bajo response time hours / Alto on time delivery rate,0.3576511189576247,-0.6996665258702719
1714,62.11,12.6,4.85,315,90.1,3.6,7608,76.1,customer_support,Colombia,basic,part_time,none,1,Alto completed projects / Alto experience years,4.601780331015,1.147112862745497
1715,9.67,1.7,3.99,23,67.9,18.6,1557,5.4,digital_marketing,Argentina,advanced,full_time,top_rated,0,Bajo on time delivery rate / Bajo rating,-2.1672156088250825,-0.4798258843425316
1716,22.58,5.1,4.76,72,94.8,13.5,2796,18.1,customer_support,Mexico,intermediate,part_time,none,2,Bajo response time hours / Alto on time delivery rate,0.30622358597627813,-1.1577802311316046
1717,61.71,14.5,4.72,136,99.9,7.7,4910,85.7,mobile_development,Costa Rica,intermediate,part_time,top_rated,1,Alto completed projects / Alto experience years,3.76568746988984,0.3826695915168105
1718,33.64,5.8,4.31,108,90.1,15.7,2951,46.7,machine_learning,El Salvador,intermediate,weekends,none,2,Bajo response time hours / Alto on time delivery rate,0.7543352609593148,-0.2681917260181002
1719,12.28,1.9,3.81,20,79.3,27.6,998,13.4,customer_support,Mexico,intermediate,full_time,rising_talent,0,Bajo on time delivery rate / Bajo rating,-2.034923975211134,-0.38281546211770967
1720,42.36,6.5,4.59,45,90.6,10.4,2149,45.5,web_development,Chile,basic,full_time,verified,2,Bajo response time hours / Alto on time delivery rate,0.7534890432330466,-0.7545415634288603
1721,38.94,7.5,3.48,6,64.8,40.6,409,7.1,graphic_design,Costa Rica,intermediate,weekends,rising_talent,0,Bajo on time delivery rate / Bajo rating,-2.2531217054699537,1.3889814668632006
1722,13.12,1.8,4.33,15,74.5,32.8,684,3.2,web_development,Mexico,advanced,part_time,none,0,Bajo on time delivery rate / Bajo rating,-2.1740305139263723,-0.5750307124695515
1723,16.89,5.1,3.78,55,55.3,21.6,1871,9.8,web_development,Guatemala,advanced,full_time,none,0,Bajo on time delivery rate / Bajo rating,-2.0089667180700657,0.6035739643068316
1724,25.57,6.9,4.57,119,85.8,13.4,3853,21.5,copywriting,Costa Rica,advanced,limited,top_rated,2,Bajo response time hours / Alto on time delivery rate,0.611082465799182,-0.3460621923020152
1725,43.36,6.9,4.35,101,82.3,5.2,3306,32.3,mobile_development,Costa Rica,intermediate,part_time,none,2,Bajo response time hours / Alto on time delivery rate,0.7399769111530012,-0.0912852561841314
1726,20.4,3.2,4.78,32,88.1,14.0,1121,31.3,graphic_design,El Salvador,intermediate,part_time,rising_talent,2,Bajo response time hours / Alto on time delivery rate,-0.3325130078841111,-1.5230465337474162
1727,26.5,6.8,4.63,61,84.5,6.2,1446,31.0,web_development,Costa Rica,intermediate,full_time,verified,2,Bajo response time hours / Alto on time delivery rate,0.19789108307461808,-1.044881034809089
1728,21.66,2.8,3.95,92,64.0,49.7,3259,5.5,graphic_design,Peru,intermediate,full_time,rising_talent,0,Bajo on time delivery rate / Bajo rating,-1.9277744392300251,1.2324809991737515
1729,24.95,6.3,4.7,37,94.5,6.2,1280,52.4,mobile_development,Guatemala,intermediate,part_time,none,2,Bajo response time hours / Alto on time delivery rate,0.694449605430733,-1.5003333239634353
1730,52.63,13.1,4.97,91,96.3,4.8,1361,49.5,mobile_development,Peru,basic,limited,none,2,Bajo response time hours / Alto on time delivery rate,2.159328025132548,-0.6853259332211225
1731,19.5,1.0,4.24,32,81.3,23.9,1509,10.2,digital_marketing,Guatemala,intermediate,part_time,top_rated,0,Bajo on time delivery rate / Bajo rating,-1.5456049539840018,-0.7143144669164725
1732,59.96,9.7,4.72,120,95.9,2.1,1624,80.7,web_development,El Salvador,advanced,part_time,none,1,Alto completed projects / Alto experience years,2.520776037321575,-0.5141217413018069
1733,21.68,2.9,3.81,2,73.0,38.2,847,18.8,data_analysis,El Salvador,basic,full_time,verified,0,Bajo on time delivery rate / Bajo rating,-2.1781599987945532,0.22481424708497377
1734,32.4,3.5,4.76,80,93.2,5.3,3177,35.6,mobile_development,Guatemala,advanced,full_time,rising_talent,2,Bajo response time hours / Alto on time delivery rate,0.7661570182939467,-1.2513812666175157
1735,19.93,2.0,4.29,24,85.5,37.2,758,7.5,customer_support,Costa Rica,native,part_time,none,0,Bajo on time delivery rate / Bajo rating,-1.7250005865101956,-0.5284363668903072
1736,16.5,2.0,3.95,23,80.4,26.0,1076,12.2,mobile_development,Costa Rica,basic,limited,none,0,Bajo on time delivery rate / Bajo rating,-1.8120228361915773,-0.48534279452097023
1737,46.9,7.4,4.97,293,97.3,6.9,6710,76.6,data_analysis,Argentina,basic,weekends,verified,1,Alto completed projects / Alto experience years,3.8794128634521514,0.09462138808093765
1738,64.29,8.9,4.81,288,99.7,4.3,7106,66.8,copywriting,Costa Rica,native,part_time,none,1,Alto completed projects / Alto experience years,4.125406633540788,0.5813219191326751
1739,16.28,1.0,3.86,35,82.4,24.4,891,6.1,customer_support,Colombia,advanced,full_time,expert_vetted,0,Bajo on time delivery rate / Bajo rating,-1.9744387959441698,-0.5460619776028041
1740,17.36,2.6,3.9,13,75.5,23.4,923,8.5,web_development,Argentina,basic,full_time,none,0,Bajo on time delivery rate / Bajo rating,-2.010412501600107,-0.38103653119991027
1741,44.69,6.3,3.99,52,48.4,31.8,1175,19.5,data_analysis,Chile,intermediate,part_time,none,0,Bajo on time delivery rate / Bajo rating,-1.727957477529076,1.3963644948242881
1742,33.17,5.9,4.47,33,94.2,7.4,1004,34.7,machine_learning,Guatemala,intermediate,full_time,none,2,Bajo response time hours / Alto on time delivery rate,0.204473054502791,-1.198454545410031
1743,44.92,4.0,4.65,89,82.7,11.1,1801,32.6,web_development,Colombia,intermediate,weekends,none,2,Bajo response time hours / Alto on time delivery rate,0.2649487538914405,-0.6025163272140153
1744,39.78,4.0,4.48,86,88.7,6.1,2407,42.1,customer_support,Mexico,advanced,part_time,none,2,Bajo response time hours / Alto on time delivery rate,0.6051058652725115,-0.7570516587240156
1745,33.69,5.7,4.21,38,84.0,11.6,1488,20.5,copywriting,Guatemala,advanced,limited,none,2,Bajo response time hours / Alto on time delivery rate,-0.45953744463003215,-0.5253773859208388
1746,33.81,7.7,2.84,77,64.3,47.7,1919,4.2,mobile_development,El Salvador,basic,full_time,none,0,Bajo on time delivery rate / Bajo rating,-2.2847518079062668,2.458082851623328
1747,19.18,2.3,3.72,15,82.8,12.3,371,2.7,digital_marketing,Argentina,native,full_time,expert_vetted,0,Bajo on time delivery rate / Bajo rating,-1.9313420808497466,-0.7849226470606865
1748,14.13,1.7,4.37,27,72.2,20.3,1376,19.4,mobile_development,Peru,basic,full_time,none,0,Bajo on time delivery rate / Bajo rating,-1.552173108523673,-0.8142538724522264
1749,10.17,2.3,4.07,4,65.1,14.8,174,2.9,copywriting,Costa Rica,advanced,full_time,rising_talent,0,Bajo on time delivery rate / Bajo rating,-2.451870689928079,-0.7736090458140763
1750,19.93,1.7,3.24,77,69.3,62.6,2713,2.0,web_development,Peru,basic,full_time,none,0,Bajo on time delivery rate / Bajo rating,-2.7866986296056946,1.8380942390740231
1751,22.87,3.7,4.55,87,89.4,6.8,1345,26.0,machine_learning,Argentina,intermediate,full_time,top_rated,2,Bajo response time hours / Alto on time delivery rate,-0.048324941785082336,-1.2962237434555244
1752,40.73,6.2,4.71,61,86.2,5.0,1483,20.8,graphic_design,Chile,advanced,weekends,none,2,Bajo response time hours / Alto on time delivery rate,0.2735987963422895,-0.9626772531613925
1753,20.16,0.7,3.57,24,66.0,45.8,815,21.3,graphic_design,Costa Rica,advanced,full_time,rising_talent,0,Bajo on time delivery rate / Bajo rating,-2.738171779062905,0.704791244490727
1754,45.88,6.4,3.1,78,58.5,38.7,2365,0.5,data_analysis,Mexico,advanced,weekends,top_rated,0,Bajo on time delivery rate / Bajo rating,-2.0960621365836167,2.3448661222187077
1755,87.35,10.0,4.86,153,98.9,6.1,4730,60.5,data_analysis,Guatemala,intermediate,part_time,none,1,Alto completed projects / Alto experience years,3.3436799778995985,0.43247002443659144
1756,70.78,7.9,4.94,133,93.1,7.6,3751,57.1,copywriting,Mexico,intermediate,full_time,none,1,Alto completed projects / Alto experience years,2.4637705234341962,-0.09694167320501673
1757,20.96,4.4,4.2,120,85.8,3.6,1960,55.0,customer_support,Argentina,basic,part_time,none,2,Bajo response time hours / Alto on time delivery rate,0.5026532947983259,-0.8150982198507551
1758,83.15,10.1,4.73,144,99.5,2.1,4292,56.4,web_development,El Salvador,advanced,part_time,none,1,Alto completed projects / Alto experience years,3.112107244489528,0.26082072865602546
1759,31.34,3.3,3.55,83,75.4,46.4,1326,0.1,mobile_development,Costa Rica,advanced,limited,none,0,Bajo on time delivery rate / Bajo rating,-2.108903713354426,1.1437382223564005
1760,16.82,2.9,3.56,25,65.4,16.4,423,19.5,web_development,Peru,intermediate,limited,none,0,Bajo on time delivery rate / Bajo rating,-2.2115337321846957,-0.05566806136982035
1761,46.81,7.2,4.81,287,96.4,3.1,4084,79.3,machine_learning,Chile,basic,part_time,none,1,Alto completed projects / Alto experience years,3.3581600124438205,-0.20530963677376174
1762,31.6,4.2,4.54,106,90.9,13.6,2804,38.6,web_development,Argentina,intermediate,part_time,expert_vetted,2,Bajo response time hours / Alto on time delivery rate,0.6041324241932029,-0.6949705819749824
1763,31.61,5.2,3.7,61,61.0,69.6,1320,17.2,mobile_development,Argentina,advanced,limited,none,0,Bajo on time delivery rate / Bajo rating,-2.406520153102693,2.106906031803568
1764,21.04,0.2,3.6,28,84.1,47.7,1194,8.4,digital_marketing,Chile,basic,limited,none,0,Bajo on time delivery rate / Bajo rating,-2.4107917458788264,0.31037922050530153
1765,66.14,9.2,4.69,345,93.0,5.0,6114,60.4,mobile_development,Mexico,intermediate,full_time,rising_talent,1,Alto completed projects / Alto experience years,3.8735426042641024,0.9626564124118601
1766,63.01,14.3,4.95,108,93.1,5.9,3046,69.3,mobile_development,Costa Rica,advanced,limited,top_rated,1,Alto completed projects / Alto experience years,3.001212680865688,-0.0054928564692108064
1767,67.82,7.8,4.78,235,97.6,5.9,6588,47.7,mobile_development,Peru,advanced,full_time,none,1,Alto completed projects / Alto experience years,3.2836927512036485,0.4721226835685925
1768,86.78,8.2,4.79,278,95.5,5.6,9416,53.0,digital_marketing,Argentina,advanced,limited,top_rated,1,Alto completed projects / Alto experience years,4.309211374120911,1.3744524501428017
1769,31.01,3.1,4.2,71,89.8,4.3,1582,49.9,data_analysis,Mexico,intermediate,full_time,none,2,Bajo response time hours / Alto on time delivery rate,0.20553649878472036,-1.0047574816918938
1770,72.86,8.5,4.95,214,93.9,3.8,5170,81.0,data_analysis,Chile,advanced,full_time,none,1,Alto completed projects / Alto experience years,3.6855148006122826,0.24938110916256911
1771,41.17,3.9,4.63,57,91.3,9.2,1692,48.6,machine_learning,Colombia,intermediate,part_time,rising_talent,2,Bajo response time hours / Alto on time delivery rate,0.5865663106791635,-1.035803533727578
1772,61.46,12.0,4.67,107,90.1,5.7,1965,79.2,web_development,Mexico,advanced,full_time,none,1,Alto completed projects / Alto experience years,2.4745205551012797,-0.03710092153102317
1773,153.81,11.5,2.17,343,90.8,98.69,10360,82.8,digital_marketing,Costa Rica,advanced,full_time,rising_talent,1,Alto completed projects / Alto experience years,3.176468179815993,8.083852851851855
1774,89.48,12.7,4.82,287,94.8,2.4,4607,86.6,data_analysis,El Salvador,advanced,limited,top_rated,1,Alto completed projects / Alto experience years,4.608559755613618,1.0443683389222305
1775,35.7,4.7,4.74,71,95.6,12.4,3251,17.8,graphic_design,Colombia,basic,part_time,none,2,Bajo response time hours / Alto on time delivery rate,0.5394231814420493,-0.9423730721148511
1776,64.88,9.3,4.79,112,96.4,5.4,1789,75.9,digital_marketing,Mexico,advanced,full_time,none,1,Alto completed projects / Alto experience years,2.451588951938041,-0.44299018392639405
1777,27.92,5.5,4.55,77,93.9,8.6,1675,15.6,data_analysis,Argentina,advanced,limited,none,2,Bajo response time hours / Alto on time delivery rate,0.1214163401516207,-1.1251550891773874
1778,18.41,9.0,3.77,63,75.1,27.4,2114,17.8,copywriting,Colombia,native,part_time,verified,0,Bajo on time delivery rate / Bajo rating,-0.924048387430845,0.6319455485889174
1779,26.43,4.2,4.51,56,93.2,12.7,1786,32.2,data_analysis,Mexico,basic,weekends,none,2,Bajo response time hours / Alto on time delivery rate,0.07230333075808995,-1.1397270528635715
1780,11.61,1.8,3.97,21,77.9,28.2,1056,21.3,web_development,Costa Rica,advanced,part_time,top_rated,0,Bajo on time delivery rate / Bajo rating,-1.8392892619253405,-0.45906034196486073
1781,35.24,3.7,4.41,37,91.6,3.2,1727,44.2,graphic_design,Mexico,intermediate,weekends,expert_vetted,2,Bajo response time hours / Alto on time delivery rate,0.2893324039604337,-1.2243553480416673
1782,20.56,3.6,4.39,63,83.0,13.4,2226,22.0,customer_support,El Salvador,advanced,full_time,expert_vetted,2,Bajo response time hours / Alto on time delivery rate,-0.5045501545698411,-0.8202967172188723
1783,54.78,13.6,4.99,241,97.6,1.5,4048,88.1,digital_marketing,Mexico,basic,full_time,none,1,Alto completed projects / Alto experience years,4.173132649892274,0.012933118650403787
1784,43.06,3.0,4.63,79,84.1,7.6,1656,53.3,graphic_design,Peru,native,part_time,verified,2,Bajo response time hours / Alto on time delivery rate,0.5303828936958187,-0.8883301866335814
1785,8.43,0.0,3.54,26,87.0,11.2,783,23.8,digital_marketing,Colombia,intermediate,part_time,verified,0,Bajo on time delivery rate / Bajo rating,-1.7692554821578772,-1.0268595951431525
1786,46.37,1.4,3.37,96,62.2,28.9,2985,3.4,digital_marketing,Peru,basic,part_time,none,0,Bajo on time delivery rate / Bajo rating,-1.8882122939246326,1.5231068906766034
1787,14.29,0.1,3.77,35,75.8,41.5,1058,3.6,machine_learning,Argentina,advanced,full_time,none,0,Bajo on time delivery rate / Bajo rating,-2.6137878400461574,0.09427817109606096
1788,61.36,9.7,4.87,89,90.2,3.5,2903,44.0,digital_marketing,Colombia,basic,weekends,none,2,Bajo response time hours / Alto on time delivery rate,1.8918007038888338,-0.3645018920759038
1789,10.94,0.0,3.91,9,70.5,11.5,266,19.2,digital_marketing,Colombia,advanced,full_time,none,0,Bajo on time delivery rate / Bajo rating,-2.231109873882554,-0.9881241159793333
1790,40.17,5.3,4.79,98,84.0,15.4,3815,16.2,machine_learning,Argentina,basic,weekends,rising_talent,2,Bajo response time hours / Alto on time delivery rate,0.502215675503417,-0.35728145049789145
1791,40.9,4.9,4.61,26,85.5,14.2,404,25.2,machine_learning,Mexico,intermediate,part_time,top_rated,2,Bajo response time hours / Alto on time delivery rate,-0.35650608982874116,-0.8971279373166932
1792,15.65,0.9,4.16,2,67.3,37.7,445,4.2,graphic_design,Guatemala,advanced,part_time,none,0,Bajo on time delivery rate / Bajo rating,-2.697408624267794,-0.20160804054344683
1793,19.45,2.0,4.37,27,79.2,47.2,904,11.6,copywriting,Colombia,advanced,full_time,rising_talent,0,Bajo on time delivery rate / Bajo rating,-1.9134975084553163,-0.15520878458335924
1794,51.66,13.3,4.82,104,93.2,6.9,2392,49.7,mobile_development,Peru,native,full_time,expert_vetted,1,Alto completed projects / Alto experience years,2.190440298456494,-0.2592698701941103
1795,60.3,15.0,4.67,254,97.5,5.7,2880,69.8,copywriting,Colombia,advanced,part_time,rising_talent,1,Alto completed projects / Alto experience years,3.6500355665343265,0.5249420626062141
1796,68.15,12.6,4.82,170,94.0,2.5,4299,89.2,web_development,Chile,native,full_time,verified,1,Alto completed projects / Alto experience years,3.752800252706777,0.2650350585998861
1797,33.82,7.4,3.51,20,72.6,41.3,461,16.0,graphic_design,Argentina,intermediate,full_time,expert_vetted,0,Bajo on time delivery rate / Bajo rating,-1.8706719850537146,1.1303058029022428
1798,78.04,9.9,4.95,103,93.3,6.6,2674,68.2,data_analysis,Mexico,advanced,weekends,expert_vetted,1,Alto completed projects / Alto experience years,2.6462915802927784,-0.0937071002789212
1799,56.17,12.7,4.9,319,94.1,2.0,10133,83.7,data_analysis,Costa Rica,basic,full_time,verified,1,Alto completed projects / Alto experience years,5.291108380690333,1.1498402493785789
1800,33.27,4.9,4.77,38,94.3,11.6,1306,53.6,machine_learning,Costa Rica,basic,limited,none,2,Bajo response time hours / Alto on time delivery rate,0.6464576266132066,-1.36875159839966
1801,37.02,3.3,4.6,106,90.1,9.7,3320,39.7,digital_marketing,Costa Rica,native,full_time,rising_talent,2,Bajo response time hours / Alto on time delivery rate,0.7682889740515079,-0.7635144402469224
1802,73.61,13.0,4.79,144,94.7,5.4,5588,86.5,mobile_development,Argentina,intermediate,full_time,top_rated,1,Alto completed projects / Alto experience years,3.870304241909712,0.59478729141289
1803,28.82,6.3,4.51,118,91.0,15.3,2683,49.4,digital_marketing,Argentina,native,full_time,rising_talent,2,Bajo response time hours / Alto on time delivery rate,0.9521063758883455,-0.5413740839363518
1804,20.73,1.7,4.08,31,70.5,32.3,1704,16.2,digital_marketing,Chile,intermediate,full_time,top_rated,0,Bajo on time delivery rate / Bajo rating,-1.8716655699687956,0.0009037988422130605
1805,19.2,0.8,4.26,3,75.4,32.1,689,21.1,copywriting,Chile,advanced,part_time,top_rated,0,Bajo on time delivery rate / Bajo rating,-1.9410384356664,-0.5667276891712373
1806,34.2,5.8,4.22,118,85.6,7.4,4405,41.1,copywriting,Guatemala,intermediate,full_time,rising_talent,2,Bajo response time hours / Alto on time delivery rate,0.911070539086247,-0.09037030026960291
1807,27.65,8.7,3.34,33,75.4,44.8,1142,8.3,customer_support,Chile,native,part_time,none,0,Bajo on time delivery rate / Bajo rating,-1.8546855922590135,1.4272271716710405
1808,19.77,2.1,3.55,29,80.0,13.7,1077,17.8,mobile_development,Peru,advanced,full_time,none,0,Bajo on time delivery rate / Bajo rating,-1.7036761012613892,-0.39922957176227464
1809,25.45,5.3,4.29,50,92.0,9.5,1250,26.3,copywriting,Colombia,native,full_time,rising_talent,2,Bajo response time hours / Alto on time delivery rate,-0.1783542132764643,-1.0437254369603475
1810,56.21,13.1,4.98,281,93.2,2.1,8469,51.9,data_analysis,Chile,advanced,part_time,top_rated,1,Alto completed projects / Alto experience years,4.339027749015334,0.8637102272501452
1811,9.96,0.4,3.74,32,66.7,26.1,1488,16.1,copywriting,Peru,intermediate,full_time,expert_vetted,0,Bajo on time delivery rate / Bajo rating,-2.3916850007949475,-0.11781622279895042
1812,21.75,0.1,3.87,31,70.8,17.4,1398,24.4,digital_marketing,El Salvador,advanced,part_time,none,0,Bajo on time delivery rate / Bajo rating,-1.8007204577587521,-0.37451800786107825
1813,133.48,5.7,2.88,106,84.1,73.42,1300,45.2,graphic_design,Colombia,native,full_time,none,0,Bajo on time delivery rate / Bajo rating,-0.3177387307673622,4.3351820685520845
1814,46.32,10.1,4.71,260,92.5,1.0,8123,52.8,copywriting,Guatemala,basic,full_time,rising_talent,1,Alto completed projects / Alto experience years,3.6015264654927908,0.5399967923740764
1815,32.49,4.9,4.52,111,86.4,13.3,2312,24.3,web_development,Chile,advanced,full_time,none,2,Bajo response time hours / Alto on time delivery rate,0.2300170990233523,-0.5631889594080829
1816,18.39,0.7,4.01,10,86.8,26.1,523,23.4,graphic_design,Guatemala,advanced,full_time,none,0,Bajo on time delivery rate / Bajo rating,-1.6647378004012843,-0.8564248508666715
1817,9.46,2.3,3.53,30,65.5,37.4,436,24.0,mobile_development,Argentina,intermediate,full_time,top_rated,0,Bajo on time delivery rate / Bajo rating,-2.6134022686743794,0.40879973339701847
1818,42.35,6.6,4.43,118,83.0,11.4,4151,42.4,data_analysis,Colombia,advanced,full_time,top_rated,2,Bajo response time hours / Alto on time delivery rate,1.068150626577428,0.10738114267868967
1819,8.03,1.0,3.52,6,68.7,44.9,286,3.0,mobile_development,El Salvador,intermediate,part_time,top_rated,0,Bajo on time delivery rate / Bajo rating,-3.294021555663224,0.3658263337349298
1820,12.01,1.7,3.94,35,77.3,26.9,826,5.8,mobile_development,Colombia,intermediate,full_time,rising_talent,0,Bajo on time delivery rate / Bajo rating,-2.1099705343237907,-0.4615958483217577
1821,46.29,7.6,5.0,295,99.8,4.9,8338,85.1,copywriting,Colombia,advanced,part_time,none,1,Alto completed projects / Alto experience years,4.4550914506005554,0.19637185907288357
1822,65.85,12.5,4.61,298,98.9,7.7,5288,62.0,copywriting,Colombia,intermediate,part_time,top_rated,1,Alto completed projects / Alto experience years,3.93559798722515,0.9688189804948489
1823,68.46,11.4,4.81,87,94.4,6.7,1922,75.0,customer_support,Guatemala,native,part_time,verified,1,Alto completed projects / Alto experience years,2.5330501842925948,-0.20301652094233325
1824,35.17,6.8,4.29,64,84.2,9.8,2038,46.8,machine_learning,Mexico,advanced,full_time,none,2,Bajo response time hours / Alto on time delivery rate,0.42266139153636606,-0.40408435672470305
1825,20.03,3.8,4.5,107,89.2,8.5,2532,28.4,web_development,Argentina,basic,weekends,top_rated,2,Bajo response time hours / Alto on time delivery rate,0.208181881950893,-1.0483864820712079
1826,44.99,6.9,4.55,72,90.9,4.9,993,38.3,digital_marketing,Colombia,advanced,full_time,expert_vetted,2,Bajo response time hours / Alto on time delivery rate,0.6952800769177844,-0.8540897852822147
1827,58.5,13.7,4.92,123,95.8,1.6,3365,70.8,customer_support,Guatemala,native,part_time,none,1,Alto completed projects / Alto experience years,3.1668238439658363,-0.2013977084824698
1828,38.1,4.6,4.72,38,87.1,3.5,1759,33.7,digital_marketing,Guatemala,intermediate,part_time,expert_vetted,2,Bajo response time hours / Alto on time delivery rate,0.307616243938355,-1.2182164705785508
1829,38.3,5.4,4.47,44,91.1,6.8,1602,18.3,web_development,Guatemala,basic,full_time,rising_talent,2,Bajo response time hours / Alto on time delivery rate,0.014742278622109,-0.9762834869726493
1830,38.42,3.1,4.31,72,82.7,7.5,2550,26.6,mobile_development,Colombia,basic,part_time,rising_talent,2,Bajo response time hours / Alto on time delivery rate,-0.10060843939416622,-0.5494769936848444
1831,42.14,4.5,4.57,102,88.6,11.4,3525,42.0,mobile_development,Costa Rica,intermediate,weekends,expert_vetted,2,Bajo response time hours / Alto on time delivery rate,0.913726151688583,-0.4495707075775808
1832,57.72,13.1,4.74,276,96.6,5.8,7097,78.2,digital_marketing,Mexico,intermediate,part_time,rising_talent,1,Alto completed projects / Alto experience years,4.436737067612322,0.9030057490180018
1833,12.08,2.8,4.21,24,67.1,44.1,1325,6.3,mobile_development,El Salvador,advanced,weekends,none,0,Bajo on time delivery rate / Bajo rating,-2.3499152509575185,0.16599453595250552
1834,142.42,5.4,2.92,39,92.4,88.49,1631,45.7,digital_marketing,Guatemala,advanced,full_time,top_rated,0,Bajo on time delivery rate / Bajo rating,-0.46815840937310804,4.518292661978787
1835,32.73,4.1,4.55,29,89.2,5.7,835,47.8,web_development,Peru,intermediate,part_time,none,2,Bajo response time hours / Alto on time delivery rate,0.1504605374376744,-1.3492974632121564
1836,33.95,3.8,4.36,56,86.4,15.7,1902,44.5,web_development,Peru,advanced,weekends,expert_vetted,2,Bajo response time hours / Alto on time delivery rate,0.02947565733434091,-0.6395774417633312
1837,17.48,2.7,4.05,21,78.7,41.1,615,3.8,mobile_development,Guatemala,advanced,full_time,rising_talent,0,Bajo on time delivery rate / Bajo rating,-2.202930505754121,-0.0850932245097037
1838,79.66,13.8,4.6,100,98.8,2.0,2241,82.9,graphic_design,Guatemala,intermediate,full_time,top_rated,1,Alto completed projects / Alto experience years,3.219502352901495,0.1692546679957624
1839,16.04,2.6,4.33,7,81.5,15.4,808,3.5,digital_marketing,Chile,intermediate,full_time,none,0,Bajo on time delivery rate / Bajo rating,-1.5967354226981214,-1.1732750162110777
1840,43.39,6.8,4.49,95,94.9,11.9,1406,54.5,data_analysis,El Salvador,intermediate,full_time,none,2,Bajo response time hours / Alto on time delivery rate,1.0828507770398084,-0.6343851291410881
1841,19.21,1.9,4.31,28,75.3,45.8,1248,11.8,customer_support,El Salvador,native,full_time,none,0,Bajo on time delivery rate / Bajo rating,-1.983854678073465,-0.011297792904740287
1842,42.09,6.0,4.78,55,85.9,4.5,2107,39.4,mobile_development,Costa Rica,native,limited,rising_talent,2,Bajo response time hours / Alto on time delivery rate,0.7189437194211921,-0.9719839990742625
1843,30.7,7.3,3.2,13,77.6,49.4,312,5.0,data_analysis,Colombia,advanced,weekends,top_rated,0,Bajo on time delivery rate / Bajo rating,-2.353128805468153,1.412857849234996
1844,68.93,8.9,4.89,258,94.1,7.4,6336,43.5,graphic_design,Colombia,advanced,part_time,verified,1,Alto completed projects / Alto experience years,3.3523233284083536,0.6668940359154811
1845,46.89,1.3,3.3,83,53.3,19.6,1646,6.3,graphic_design,El Salvador,advanced,part_time,none,0,Bajo on time delivery rate / Bajo rating,-2.2831077335578818,1.3500457832374786
