freelancer_id,hourly_rate,experience_years,rating,completed_projects,on_time_delivery_rate,response_time_hours,profile_views,repeat_client_rate,skill_category,country,english_level,availability,platform_badge
1368,19.72,1.2,3.57,5,83.1,33.9,520,24.5,data_analysis,El Salvador,advanced,limited,none
1369,28.68,4.1,4.43,57,82.5,13.6,812,37.3,data_analysis,Mexico,intermediate,weekends,none
1370,75.96,12.4,4.7,139,99.2,1.3,1312,64.6,mobile_development,Guatemala,advanced,part_time,none
1371,44.62,7.0,4.35,116,89.6,5.3,1973,47.2,machine_learning,Colombia,advanced,full_time,none
1372,42.88,5.2,4.44,60,90.8,12.0,1510,15.8,machine_learning,Peru,intermediate,full_time,none
1373,24.15,4.9,3.52,31,68.8,36.5,1647,8.4,customer_support,Chile,intermediate,part_time,verified
1374,44.77,8.6,3.38,69,68.8,50.7,1705,9.7,data_analysis,Mexico,advanced,full_time,rising_talent
1375,24.13,3.0,2.91,92,73.3,25.8,1850,7.8,copywriting,Guatemala,intermediate,weekends,none
1376,50.57,12.2,4.61,312,98.0,5.7,4879,47.9,web_development,El Salvador,intermediate,part_time,rising_talent
1377,38.16,6.8,4.23,93,91.5,11.8,1691,20.5,data_analysis,Chile,intermediate,part_time,top_rated
1378,26.1,4.1,4.73,87,93.3,16.0,1998,20.3,machine_learning,Guatemala,intermediate,limited,none
1379,38.5,4.2,4.28,87,93.4,14.8,1959,15.2,copywriting,Guatemala,intermediate,part_time,none
1380,143.6,3.2,3.03,107,83.2,77.79,3156,25.6,data_analysis,Colombia,basic,full_time,top_rated
1381,9.89,1.8,3.81,13,82.7,27.5,549,10.5,data_analysis,Colombia,native,part_time,top_rated
1382,21.07,6.5,4.48,88,95.1,11.6,2341,25.3,web_development,Peru,intermediate,full_time,top_rated
1383,91.29,8.8,4.64,88,96.3,1.8,2741,67.4,mobile_development,Chile,native,weekends,rising_talent
1384,30.15,6.5,4.56,112,87.2,4.6,3400,39.7,web_development,Argentina,native,full_time,rising_talent
1385,60.48,10.4,4.78,231,94.5,5.5,4514,77.9,mobile_development,Peru,advanced,part_time,top_rated
1386,13.24,0.6,3.5,29,70.3,37.6,1188,23.9,machine_learning,Guatemala,intermediate,full_time,none
1387,11.58,0.2,3.72,21,72.1,31.6,1080,3.3,copywriting,Argentina,basic,weekends,rising_talent
1388,32.1,1.5,3.67,20,63.9,57.7,1048,15.2,machine_learning,Costa Rica,native,limited,rising_talent
1389,25.37,4.3,4.73,95,85.3,14.5,2940,43.5,customer_support,Costa Rica,advanced,part_time,rising_talent
1390,10.6,0.7,4.17,31,84.5,40.4,1789,4.0,data_analysis,Colombia,intermediate,full_time,none
1391,10.66,2.5,4.12,31,69.9,35.9,851,6.8,web_development,Colombia,advanced,limited,none
1392,85.77,14.5,4.96,315,93.8,7.0,6498,72.6,graphic_design,Argentina,advanced,weekends,top_rated
1393,11.34,0.5,4.02,17,80.8,10.0,664,11.7,digital_marketing,Chile,basic,limited,top_rated
1394,16.27,0.4,4.05,31,72.6,22.2,954,3.9,machine_learning,Guatemala,native,full_time,none
1395,76.12,8.6,4.98,143,90.3,6.0,2782,59.7,graphic_design,Colombia,advanced,full_time,top_rated
1396,90.68,10.9,4.79,191,92.0,1.5,6886,84.3,machine_learning,Chile,advanced,part_time,rising_talent
1397,15.82,0.2,3.84,3,72.7,21.9,328,16.3,data_analysis,Guatemala,advanced,weekends,none
1398,20.57,0.8,4.11,28,75.9,38.8,921,13.6,web_development,Costa Rica,advanced,part_time,none
1399,54.55,11.1,4.99,286,98.8,6.6,4929,87.3,digital_marketing,Peru,advanced,full_time,none
1400,25.44,5.3,4.66,111,88.8,10.5,4684,36.7,data_analysis,Chile,advanced,full_time,none
1401,35.51,4.3,4.39,61,90.4,13.4,2210,23.3,digital_marketing,Argentina,basic,full_time,expert_vetted
1402,13.33,0.4,3.64,35,83.5,12.8,1437,21.9,copywriting,Argentina,intermediate,part_time,none
1403,66.85,12.6,4.97,163,91.4,2.4,5841,69.6,digital_marketing,Colombia,advanced,limited,none
1404,31.53,5.0,4.5,90,92.8,9.8,2472,51.4,customer_support,Guatemala,intermediate,full_time,rising_talent
1405,15.31,1.2,3.57,13,81.1,19.7,856,16.8,digital_marketing,Costa Rica,basic,full_time,top_rated
1406,76.18,11.5,4.92,178,98.8,4.8,6002,88.6,graphic_design,Argentina,intermediate,part_time,rising_talent
1407,20.32,1.3,3.85,9,65.2,25.9,699,10.2,machine_learning,Chile,intermediate,full_time,top_rated
1408,28.19,6.0,4.73,70,83.4,15.6,623,25.2,machine_learning,El Salvador,intermediate,weekends,none
1409,23.32,5.7,4.41,78,87.4,6.3,1473,19.3,digital_marketing,Mexico,advanced,full_time,top_rated
1410,23.59,6.4,4.32,92,87.7,9.9,1640,32.0,customer_support,Guatemala,advanced,full_time,expert_vetted
1411,21.14,5.5,4.69,59,84.2,5.8,1254,40.7,copywriting,Guatemala,advanced,full_time,none
1412,45.4,3.5,2.88,39,67.0,18.7,1666,15.4,customer_support,El Salvador,basic,part_time,expert_vetted
1413,22.74,4.5,4.57,92,82.2,7.1,2993,16.7,customer_support,Chile,native,limited,none
1414,36.01,6.8,4.54,111,82.3,7.4,1696,48.1,machine_learning,Guatemala,intermediate,full_time,none
1415,85.44,7.4,4.69,126,93.5,4.7,3404,88.7,web_development,El Salvador,intermediate,part_time,none
1416,18.42,2.0,3.92,35,75.0,23.8,968,10.4,machine_learning,Chile,native,full_time,rising_talent
1417,15.01,2.3,3.62,21,83.1,29.8,807,11.1,machine_learning,Colombia,intermediate,full_time,none
1418,13.34,6.8,3.67,53,68.6,58.9,1639,3.3,mobile_development,Mexico,advanced,full_time,rising_talent
1419,24.54,5.4,4.59,107,94.8,4.1,4340,18.7,data_analysis,El Salvador,advanced,part_time,rising_talent
1420,47.4,8.4,3.48,58,65.6,50.1,839,0.5,customer_support,Colombia,intermediate,full_time,top_rated
1421,34.48,6.9,4.73,54,88.6,13.8,2031,17.3,copywriting,Chile,advanced,full_time,top_rated
1422,36.78,5.2,4.69,82,90.1,12.1,1908,17.8,copywriting,Argentina,advanced,part_time,rising_talent
1423,35.25,7.2,3.81,100,51.9,45.8,2193,7.1,digital_marketing,Peru,intermediate,full_time,rising_talent
1424,30.12,5.2,4.5,95,89.2,8.3,3922,36.0,customer_support,Costa Rica,basic,part_time,none
1425,9.6,1.9,4.1,2,79.5,22.7,203,4.0,machine_learning,Mexico,intermediate,part_time,rising_talent
1426,69.42,14.3,4.76,98,98.7,1.3,3449,69.3,graphic_design,Costa Rica,advanced,limited,none
1427,33.99,9.4,3.32,43,65.0,42.5,897,0.9,copywriting,El Salvador,intermediate,full_time,top_rated
1428,56.26,14.8,4.74,308,90.1,4.4,4708,51.8,mobile_development,Mexico,intermediate,full_time,none
1429,60.91,12.4,4.61,145,96.4,4.7,4581,70.9,digital_marketing,Chile,intermediate,part_time,expert_vetted
1430,22.62,3.3,4.24,86,95.3,11.5,3524,43.1,copywriting,Guatemala,intermediate,full_time,none
1431,38.75,6.3,4.67,102,83.0,3.5,2513,40.6,web_development,Colombia,intermediate,limited,rising_talent
1432,28.93,5.0,4.36,85,90.0,6.8,2993,51.6,machine_learning,Chile,advanced,part_time,none
1433,12.47,0.7,3.95,14,85.0,23.5,543,23.7,graphic_design,El Salvador,intermediate,full_time,expert_vetted
1434,55.42,7.3,4.83,125,93.3,3.6,2393,75.3,mobile_development,Argentina,intermediate,part_time,verified
1435,48.45,9.8,4.9,206,95.8,6.6,3099,41.2,machine_learning,El Salvador,advanced,full_time,rising_talent
1436,35.8,4.4,4.37,35,94.9,9.3,1290,44.6,data_analysis,El Salvador,basic,part_time,none
1437,15.19,0.3,4.01,5,79.8,45.8,453,22.5,digital_marketing,El Salvador,intermediate,weekends,rising_talent
1438,15.87,2.1,4.23,19,65.6,47.9,630,15.6,digital_marketing,Argentina,native,weekends,none
1439,21.46,1.9,4.37,2,78.2,34.5,215,10.8,machine_learning,Costa Rica,intermediate,part_time,rising_talent
1440,29.8,9.6,2.8,45,69.6,67.4,1616,5.6,graphic_design,Colombia,advanced,limited,none
1441,20.99,6.6,4.33,81,95.6,10.2,2013,50.6,data_analysis,El Salvador,advanced,full_time,none
1442,26.9,4.6,4.36,28,90.6,5.7,1441,46.1,machine_learning,Peru,intermediate,part_time,verified
1443,21.31,5.2,4.35,41,87.3,3.9,1799,38.4,machine_learning,Peru,intermediate,full_time,top_rated
1444,30.97,6.4,4.36,36,86.2,3.6,1891,23.7,copywriting,Guatemala,native,full_time,none
1445,18.11,0.6,4.34,18,82.9,45.2,561,7.9,mobile_development,Guatemala,intermediate,full_time,expert_vetted
1446,20.95,0.8,4.16,6,73.6,28.3,222,15.3,digital_marketing,El Salvador,intermediate,full_time,rising_talent
1447,9.88,2.1,3.76,21,71.6,26.8,512,17.0,copywriting,Guatemala,basic,full_time,top_rated
1448,15.69,2.9,2.9,16,76.0,31.5,307,8.7,web_development,El Salvador,advanced,part_time,top_rated
1449,17.4,1.9,3.79,20,68.0,38.9,1312,21.3,web_development,Colombia,advanced,weekends,top_rated
1450,19.32,0.2,4.35,12,81.3,17.5,348,11.3,machine_learning,Peru,native,full_time,none
1451,78.76,14.3,4.66,227,97.4,1.7,4358,79.4,data_analysis,Peru,basic,part_time,top_rated
1452,9.34,2.6,3.88,16,69.7,38.1,225,5.2,web_development,Peru,intermediate,limited,none
1453,47.36,10.0,4.86,128,99.6,6.2,1629,77.9,digital_marketing,Chile,intermediate,full_time,none
1454,63.18,11.1,4.98,139,98.0,2.1,4657,76.6,digital_marketing,Peru,basic,part_time,top_rated
1455,40.1,5.4,4.46,25,84.4,10.6,372,32.2,copywriting,Argentina,intermediate,full_time,rising_talent
1456,41.67,4.0,4.6,95,90.9,7.7,2527,39.9,data_analysis,Peru,advanced,limited,expert_vetted
1457,40.35,5.3,4.24,87,92.7,8.1,3268,21.3,web_development,Costa Rica,intermediate,part_time,top_rated
1458,21.42,4.6,3.5,52,50.3,65.4,2116,15.5,machine_learning,Peru,advanced,full_time,top_rated
1459,79.99,10.3,4.9,253,97.5,2.1,7578,50.1,customer_support,Colombia,intermediate,full_time,none
1460,88.17,12.6,4.77,180,97.4,4.8,6302,51.2,machine_learning,Peru,intermediate,full_time,top_rated
1461,18.99,1.2,3.98,19,78.0,32.4,1167,7.4,data_analysis,Costa Rica,basic,weekends,rising_talent
1462,22.54,6.6,4.51,50,91.7,4.1,814,24.8,machine_learning,Guatemala,intermediate,part_time,rising_talent
1463,9.34,1.6,3.88,31,87.1,44.3,852,2.4,mobile_development,Mexico,basic,part_time,none
1464,74.61,9.4,4.91,283,91.8,5.5,10488,81.9,graphic_design,Costa Rica,advanced,part_time,rising_talent
1465,19.42,1.8,3.91,20,65.3,25.0,1202,15.2,data_analysis,Colombia,advanced,full_time,none
1466,31.5,5.5,4.47,111,82.4,11.9,1662,37.0,web_development,Mexico,native,part_time,none
1467,46.38,10.2,4.89,219,97.3,1.2,3399,77.7,mobile_development,El Salvador,native,full_time,top_rated
1468,92.85,9.2,4.92,224,90.5,4.9,6269,79.9,machine_learning,El Salvador,advanced,part_time,expert_vetted
1469,15.92,4.6,3.97,79,66.6,49.9,1052,13.2,graphic_design,Guatemala,intermediate,full_time,verified
1470,91.29,10.2,4.82,96,97.5,1.5,1648,71.0,mobile_development,Chile,intermediate,full_time,none
1471,42.2,7.0,4.33,50,83.0,3.8,1386,34.1,data_analysis,Argentina,native,full_time,none
1472,49.94,12.6,4.63,333,91.2,7.1,9661,79.1,web_development,Colombia,intermediate,full_time,verified
1473,21.06,1.7,4.09,19,67.1,15.0,444,14.3,customer_support,Mexico,advanced,full_time,expert_vetted
1474,32.75,5.0,4.38,79,84.6,3.9,1364,37.2,customer_support,Chile,advanced,part_time,expert_vetted
1475,16.09,0.9,3.72,10,67.7,20.8,445,3.1,mobile_development,Peru,basic,full_time,none
1476,64.43,10.3,4.7,256,93.4,8.0,7236,48.8,web_development,Colombia,advanced,part_time,rising_talent
1477,17.91,1.8,4.04,18,77.0,44.8,864,10.3,mobile_development,Guatemala,basic,part_time,expert_vetted
1478,62.04,10.6,4.98,285,92.1,3.5,9022,65.2,customer_support,Mexico,intermediate,full_time,none
1479,65.25,7.2,4.75,84,94.8,5.6,2436,44.2,data_analysis,Argentina,basic,weekends,top_rated
1480,177.47,2.6,2.49,94,61.9,119.06,2186,2.1,digital_marketing,Mexico,intermediate,full_time,none
1481,24.8,5.9,4.27,109,84.3,6.0,2798,37.1,web_development,Chile,intermediate,weekends,top_rated
1482,35.15,5.4,4.22,59,83.3,12.4,1983,37.2,copywriting,Mexico,advanced,limited,none
1483,19.94,2.3,3.67,29,86.3,16.3,962,16.8,machine_learning,Chile,basic,full_time,top_rated
1484,35.93,1.4,3.71,72,52.9,24.9,929,10.8,data_analysis,Chile,native,full_time,none
1485,35.33,6.5,4.28,90,92.7,4.2,2889,41.2,customer_support,Chile,advanced,full_time,top_rated
1486,16.98,2.0,4.33,15,65.5,18.4,1073,9.9,web_development,Argentina,intermediate,full_time,none
1487,11.11,2.0,4.15,29,70.8,44.9,712,7.5,copywriting,Peru,advanced,limited,verified
1488,74.62,9.4,4.91,222,91.9,7.3,8138,40.0,web_development,Chile,intermediate,part_time,top_rated
1489,20.37,3.3,4.23,67,87.9,6.1,1383,33.1,data_analysis,Costa Rica,intermediate,full_time,none
1490,17.29,0.2,4.03,4,68.2,18.4,491,2.5,graphic_design,Costa Rica,intermediate,part_time,rising_talent
1491,42.73,4.3,4.73,26,89.4,11.8,600,24.6,digital_marketing,Guatemala,advanced,part_time,top_rated
1492,9.55,1.0,3.72,26,78.8,22.4,1399,9.8,web_development,Costa Rica,intermediate,full_time,rising_talent
1493,11.89,1.1,3.56,14,70.1,15.5,407,20.3,mobile_development,Mexico,intermediate,full_time,rising_talent
1494,25.66,4.1,4.75,42,90.5,8.1,1469,51.2,graphic_design,Mexico,intermediate,limited,top_rated
1495,46.32,7.7,4.79,170,99.1,3.5,3842,52.0,mobile_development,El Salvador,advanced,weekends,none
1496,47.23,7.8,3.97,20,72.7,49.7,1422,10.0,copywriting,Guatemala,intermediate,part_time,none
1497,22.66,4.0,4.35,72,90.7,9.4,1241,34.5,web_development,Colombia,advanced,full_time,none
1498,24.61,4.4,4.63,111,85.9,9.4,4110,35.6,web_development,El Salvador,advanced,full_time,verified
1499,12.0,2.3,4.15,14,68.1,18.9,1089,24.1,data_analysis,Chile,intermediate,part_time,rising_talent
1500,67.2,13.3,4.65,231,99.4,3.5,2581,73.9,customer_support,El Salvador,intermediate,full_time,none
1501,10.48,1.4,4.31,27,66.5,11.0,1477,15.2,copywriting,El Salvador,advanced,full_time,none
1502,47.99,8.1,4.63,138,93.9,5.4,3388,74.0,customer_support,Costa Rica,intermediate,part_time,none
1503,51.16,9.8,4.66,150,93.8,5.5,2913,76.0,customer_support,Mexico,basic,weekends,top_rated
1504,8.56,2.8,3.72,22,82.8,19.3,1483,19.3,mobile_development,Mexico,intermediate,part_time,none
1505,70.11,10.0,4.85,144,99.7,6.3,3627,66.8,mobile_development,El Salvador,intermediate,full_time,verified
1506,25.26,5.1,4.22,37,92.9,11.7,1365,16.2,machine_learning,Costa Rica,intermediate,full_time,verified
1507,49.47,4.3,3.77,67,51.0,33.1,2251,18.9,customer_support,Peru,advanced,part_time,rising_talent
1508,44.44,4.0,4.46,62,90.2,5.1,1354,26.1,data_analysis,Guatemala,intermediate,full_time,none
1509,36.88,9.7,3.3,54,62.6,36.0,942,2.2,graphic_design,El Salvador,advanced,full_time,none
1510,43.81,7.3,3.54,79,70.7,31.9,1376,17.5,data_analysis,Chile,intermediate,weekends,none
1511,10.06,0.6,4.3,30,77.7,42.6,837,23.5,digital_marketing,Peru,native,full_time,top_rated
1512,28.06,8.8,3.15,88,46.7,19.3,1321,4.6,customer_support,Colombia,advanced,part_time,top_rated
1513,41.82,9.3,3.64,39,55.4,56.8,1092,7.9,machine_learning,Argentina,intermediate,part_time,none
1514,54.12,5.7,3.04,19,47.2,25.5,1434,15.9,web_development,Chile,intermediate,part_time,none
1515,21.51,1.6,3.68,14,74.7,27.2,580,15.3,machine_learning,El Salvador,advanced,full_time,rising_talent
1516,41.3,5.6,4.35,61,94.5,14.4,2539,39.0,digital_marketing,Guatemala,basic,part_time,none
1517,108.66,6.6,2.47,72,82.7,87.93,2304,50.6,web_development,Guatemala,intermediate,full_time,top_rated
1518,38.21,3.1,4.35,33,82.9,3.8,1128,24.7,copywriting,Mexico,advanced,weekends,none
1519,22.58,5.1,4.33,64,88.4,7.6,1721,17.0,machine_learning,Peru,intermediate,full_time,top_rated
1520,72.45,7.3,4.98,99,91.5,4.2,3729,85.6,mobile_development,El Salvador,advanced,full_time,none
1521,29.73,6.9,4.51,79,83.6,10.4,2160,33.8,mobile_development,Argentina,intermediate,part_time,verified
1522,88.24,9.7,4.99,186,93.7,2.8,3569,72.2,customer_support,Colombia,advanced,part_time,expert_vetted
1523,36.88,6.3,3.71,25,54.3,38.9,1528,13.2,customer_support,Peru,advanced,part_time,none
1524,91.45,10.4,4.79,186,90.0,7.1,4285,50.1,graphic_design,El Salvador,intermediate,full_time,none
1525,36.18,4.0,4.24,72,93.4,12.2,1889,21.6,machine_learning,Mexico,native,part_time,top_rated
1526,92.07,7.1,4.97,321,91.3,6.1,10317,40.4,graphic_design,El Salvador,advanced,full_time,verified
1527,16.99,8.9,3.4,22,55.5,55.4,408,9.6,web_development,Guatemala,intermediate,part_time,none
1528,80.82,9.2,4.68,228,94.9,7.2,6747,88.2,customer_support,El Salvador,basic,full_time,verified
1529,66.36,8.0,4.83,323,91.1,3.6,6849,70.5,customer_support,Costa Rica,intermediate,full_time,rising_talent
1530,41.37,3.8,4.67,27,82.2,12.3,969,21.1,machine_learning,Peru,intermediate,full_time,none
1531,51.36,7.7,4.63,212,92.4,5.4,6153,40.7,mobile_development,Costa Rica,basic,part_time,top_rated
1532,50.71,14.3,4.73,129,90.4,3.8,1579,81.4,web_development,Colombia,intermediate,full_time,rising_talent
1533,87.23,14.3,4.84,184,92.2,3.0,4007,65.0,graphic_design,Mexico,intermediate,full_time,top_rated
1534,64.22,14.8,4.88,291,99.8,3.7,8733,54.2,mobile_development,Mexico,native,limited,rising_talent
1535,65.38,9.9,4.91,152,93.1,4.8,5653,53.2,customer_support,Colombia,intermediate,part_time,none
1536,41.04,2.3,3.46,90,46.6,34.4,2099,14.9,web_development,Peru,intermediate,weekends,top_rated
1537,21.36,0.6,3.55,13,87.7,22.2,792,11.7,mobile_development,Guatemala,basic,part_time,rising_talent
1538,33.16,5.4,4.34,95,88.2,4.5,3493,15.1,web_development,Colombia,intermediate,limited,none
1539,58.93,9.7,4.95,172,96.2,1.4,2820,77.0,customer_support,Costa Rica,intermediate,part_time,none
1540,20.83,0.1,4.21,6,68.2,15.2,989,16.6,digital_marketing,El Salvador,native,limited,rising_talent
1541,88.59,14.3,4.69,125,90.4,3.4,3881,67.4,web_development,Costa Rica,intermediate,part_time,none
1542,44.47,3.4,4.55,40,92.5,4.8,2149,31.9,copywriting,Guatemala,advanced,part_time,rising_talent
1543,37.25,3.4,4.5,75,94.2,4.6,1279,36.2,machine_learning,Peru,basic,full_time,none
1544,76.99,10.7,4.76,161,91.8,4.0,4109,62.2,mobile_development,El Salvador,advanced,part_time,none
1545,53.45,11.4,4.86,80,94.6,5.1,1934,52.1,copywriting,Peru,advanced,full_time,none
1546,35.08,5.0,4.38,95,93.7,14.9,853,29.8,data_analysis,Chile,basic,full_time,verified
1547,61.48,11.4,4.68,115,99.5,2.0,3972,87.9,data_analysis,El Salvador,basic,part_time,expert_vetted
1548,20.98,6.5,4.42,30,82.1,10.8,1292,25.5,customer_support,El Salvador,intermediate,full_time,none
1549,151.5,0.4,2.75,8,67.3,90.79,345,9.8,web_development,Costa Rica,advanced,full_time,none
1550,11.18,0.6,4.04,8,79.6,10.6,743,5.9,mobile_development,Guatemala,native,weekends,rising_talent
1551,40.0,4.8,3.11,78,59.9,30.9,1256,18.9,copywriting,El Salvador,native,full_time,rising_talent
1552,60.25,14.6,4.98,268,99.0,5.7,7911,85.4,customer_support,Argentina,intermediate,part_time,verified
1553,12.62,0.2,3.84,28,85.6,47.1,1451,17.2,mobile_development,Chile,intermediate,weekends,top_rated
1554,78.07,14.4,4.86,299,96.3,7.0,11141,81.6,digital_marketing,Peru,intermediate,part_time,top_rated
1555,29.12,4.9,4.75,102,86.1,5.1,3604,50.4,mobile_development,Chile,intermediate,weekends,rising_talent
1556,41.69,8.8,2.84,8,70.2,60.7,310,6.4,graphic_design,Chile,intermediate,part_time,rising_talent
1557,10.76,0.5,4.39,13,78.0,36.5,420,12.3,copywriting,Chile,advanced,limited,top_rated
1558,12.21,6.1,2.83,58,49.5,48.2,2228,7.0,web_development,Chile,native,part_time,none
1559,27.79,4.4,4.73,42,94.7,10.8,1956,45.9,mobile_development,El Salvador,advanced,weekends,none
1560,18.1,2.7,3.6,16,80.1,31.9,490,8.3,customer_support,Chile,basic,full_time,rising_talent
1561,46.66,4.1,3.63,72,57.0,30.1,1555,3.8,copywriting,Mexico,intermediate,full_time,expert_vetted
1562,86.19,12.0,4.83,245,90.9,4.3,7762,85.1,mobile_development,El Salvador,advanced,limited,none
1563,33.6,3.4,4.47,56,88.2,8.0,904,54.9,customer_support,Peru,native,full_time,rising_talent
1564,83.05,9.1,4.64,297,90.3,2.8,8029,45.9,graphic_design,Guatemala,advanced,limited,none
1565,16.45,1.3,3.52,16,86.2,32.7,401,23.8,digital_marketing,Peru,basic,full_time,top_rated
1566,23.57,6.3,4.75,115,92.1,8.7,2235,42.1,mobile_development,Chile,advanced,weekends,top_rated
1567,43.93,4.2,4.41,36,91.2,11.5,1491,17.3,digital_marketing,Peru,basic,full_time,top_rated
1568,56.88,9.0,4.65,265,97.7,4.1,3312,63.3,copywriting,Chile,advanced,full_time,top_rated
1569,9.19,2.6,3.68,20,70.7,43.6,244,10.6,graphic_design,El Salvador,intermediate,full_time,none
1570,10.06,1.8,4.35,30,78.9,24.8,754,20.0,mobile_development,Colombia,intermediate,weekends,none
1571,38.59,5.9,4.49,104,84.2,4.3,4163,37.0,copywriting,El Salvador,intermediate,full_time,rising_talent
1572,8.38,0.4,3.96,29,76.2,26.8,1671,8.7,data_analysis,Peru,advanced,part_time,none
1573,19.32,0.5,3.62,25,82.1,29.8,441,14.9,digital_marketing,Peru,native,part_time,none
1574,39.03,3.2,4.59,31,85.8,10.9,1295,43.8,customer_support,Peru,intermediate,part_time,rising_talent
1575,19.04,1.6,3.59,5,85.4,41.5,941,17.3,copywriting,Mexico,intermediate,part_time,none
1576,23.99,3.0,4.34,109,89.7,7.7,2692,24.4,data_analysis,Costa Rica,intermediate,full_time,top_rated
1577,19.78,0.7,4.01,6,79.9,36.7,622,24.8,digital_marketing,El Salvador,intermediate,part_time,none
1578,22.02,5.8,4.26,31,95.5,14.9,846,33.3,web_development,Peru,basic,part_time,none
1579,39.12,6.5,4.55,35,90.7,13.4,1243,27.2,customer_support,Colombia,advanced,full_time,none
1580,10.6,1.3,3.57,29,75.3,36.0,1049,4.7,graphic_design,Costa Rica,intermediate,full_time,none
1581,83.25,10.1,4.91,192,99.4,3.6,3415,64.7,customer_support,Chile,advanced,part_time,rising_talent
1582,17.17,2.2,4.36,25,87.1,21.5,752,20.1,mobile_development,Argentina,basic,limited,none
1583,65.8,7.8,4.72,132,93.7,3.1,5339,51.3,machine_learning,Argentina,native,full_time,top_rated
1584,64.41,10.0,4.99,278,95.9,7.3,7159,86.3,mobile_development,Guatemala,basic,full_time,top_rated
1585,36.02,4.6,4.34,35,92.7,10.5,1739,22.2,data_analysis,Colombia,intermediate,part_time,none
1586,8.9,2.7,3.54,10,78.3,13.1,613,12.4,data_analysis,Argentina,basic,full_time,none
1587,44.72,4.6,4.23,86,86.7,8.8,3047,39.5,digital_marketing,El Salvador,native,full_time,none
1588,27.89,6.7,4.28,87,83.7,6.6,3380,49.1,data_analysis,Mexico,native,limited,none
1589,10.96,2.4,4.27,21,74.3,19.2,831,24.8,customer_support,Peru,advanced,full_time,none
1590,29.82,4.8,3.17,57,52.2,67.3,1963,10.1,web_development,Costa Rica,advanced,limited,rising_talent
1591,10.9,2.5,3.95,28,87.8,23.2,537,20.3,mobile_development,Costa Rica,native,weekends,none
1592,41.52,4.3,4.55,30,86.3,10.8,737,17.3,digital_marketing,Peru,intermediate,full_time,none
1593,90.19,13.6,4.69,143,91.5,7.0,3732,90.0,copywriting,Peru,basic,weekends,none
1594,38.49,4.3,4.73,33,90.8,14.0,1893,51.1,machine_learning,Colombia,native,part_time,rising_talent
1595,10.63,2.4,3.61,35,74.1,31.7,1799,8.0,digital_marketing,Peru,intermediate,part_time,none
1596,11.39,2.7,4.22,26,77.0,38.0,1102,19.8,digital_marketing,Peru,native,full_time,top_rated
1597,42.87,3.1,4.79,103,90.5,5.3,3175,19.3,copywriting,Mexico,intermediate,full_time,none
1598,21.48,1.4,4.34,29,65.7,36.3,796,4.8,graphic_design,Chile,basic,part_time,none
1599,58.52,12.5,4.81,197,98.1,1.4,5921,73.7,copywriting,Chile,native,part_time,top_rated
1600,60.5,9.1,4.72,218,91.6,7.9,4040,41.5,copywriting,Guatemala,advanced,part_time,none
1601,91.9,7.9,4.89,298,96.6,7.9,7902,60.8,digital_marketing,Mexico,intermediate,full_time,top_rated
1602,21.62,3.8,4.22,64,93.6,4.7,2332,48.6,web_development,Colombia,intermediate,part_time,verified
1603,46.36,8.6,4.75,216,91.8,5.0,7555,89.5,customer_support,Costa Rica,advanced,full_time,top_rated
1604,37.8,8.0,3.48,34,52.6,38.7,1174,11.4,mobile_development,Guatemala,advanced,weekends,rising_talent
1605,27.01,5.5,4.29,25,87.3,11.8,682,35.5,digital_marketing,Argentina,native,part_time,top_rated
1606,21.4,1.6,3.89,17,81.8,29.3,559,19.8,mobile_development,Colombia,intermediate,full_time,none
1607,20.52,4.1,4.4,27,90.1,7.5,1212,54.0,copywriting,Chile,advanced,limited,rising_talent
1608,22.7,4.8,3.89,59,54.4,29.3,1557,12.0,web_development,Chile,intermediate,weekends,top_rated
1609,18.67,2.4,3.81,9,77.7,46.1,888,6.9,machine_learning,Costa Rica,intermediate,full_time,none
1610,34.48,4.8,4.45,38,88.4,14.1,1636,40.7,web_development,Mexico,advanced,full_time,verified
1611,21.49,0.6,3.97,29,67.4,24.9,801,21.1,copywriting,Mexico,advanced,full_time,verified
1612,64.22,12.3,4.7,172,92.0,5.9,5942,88.5,copywriting,Guatemala,native,limited,none
1613,45.83,9.7,4.76,197,94.8,3.2,6551,46.8,machine_learning,Mexico,intermediate,full_time,top_rated
1614,46.47,2.1,3.95,21,55.9,70.9,1073,13.6,customer_support,Costa Rica,advanced,full_time,verified
1615,44.82,3.3,4.45,56,89.2,6.7,2636,24.8,web_development,Costa Rica,intermediate,full_time,none
1616,49.23,13.2,4.94,152,94.4,5.0,5189,70.1,mobile_development,Guatemala,advanced,full_time,top_rated
1617,42.66,6.6,4.49,69,89.3,12.9,1312,17.0,web_development,Argentina,advanced,part_time,none
1618,35.72,4.0,4.51,101,87.3,12.6,1158,24.8,mobile_development,Argentina,intermediate,full_time,none
1619,82.14,7.4,4.95,143,98.9,3.1,4742,83.3,machine_learning,Colombia,intermediate,limited,none
1620,21.03,5.5,4.75,102,88.8,9.4,3807,46.3,digital_marketing,Chile,advanced,limited,rising_talent
1621,51.92,9.8,4.68,315,97.9,7.1,9674,83.5,machine_learning,El Salvador,intermediate,full_time,none
1622,12.97,8.8,3.31,50,47.7,50.2,1274,7.0,customer_support,Argentina,advanced,part_time,top_rated
1623,8.45,2.2,4.01,18,82.0,40.3,637,10.6,digital_marketing,Chile,intermediate,full_time,expert_vetted
